CODIGO;RAZAO;FANTASIA;CNPJ_CPF;IE_RG;ENDERECO;BAIRRO;CIDADE;UF;CEP;TELEFONE;FAX;EMAIL;CADASTRADO;OBS;TRANSPORTADORA;SITE;ULTIMA_COMPRA;CONTATO;INS_MUN
12;MEDICAL SAN INDUSTRIA DE EQUIPAMENTOS MEDICOS LTDA          ;MEDICAL SAN INDUSTRIA DE EQUIPAMENTOS ME;18.308.561/0001-18;0440061288    ;R JOSE URBANO RICHTER                                       ;LINHA PORONGOS                                              ;ESTRELA                                                     ;RS;95880000;5137202762;;                                                                                                                                                                                                        ;24/07/2025 17:16:22;;False;;28/04/2026;;
13;CORREIOS  EMPRESA BRASILEIRA DE CORREIOS E TELEFR           ;CORREIOS  EMPRESA BRASILEIRA DE CORREIOS;34.028.316/4335-65;0962055271     ;R CORONEL FLORES 365                                        ;;ESTRELA                                                     ;RS;;;;;24/07/2025 17:16:22;;True;;;;
14;CECBRA INDUSTRIA DE EQUIPAMENTOS ELETROMEDICOS LTDA         ;CECBRA INDUSTRIA DE EQUIPAMENTOS ELETROM;11.857.412/0001-69;256081034     ;Rua Joao Carlos Stein                                       ;Jaragua Esquerdo                                            ;Jaragua do Sul                                              ;SC;89253350;4733700520;;                                                                                                                                                                                                        ;04/08/2025 17:34:21;;False;;16/03/2026;;
15;RIQUENA NETO AR CONDICIONADO LTDA                           ;RIQUENA NETO AR CONDICIONADO LTDA       ;08.382.929/0021-88;084360623     ;AV CIVIT I                                                  ;BARRO BRANCO                                                ;SERRA                                                       ;ES;29170740;1821022024;;                                                                                                                                                                                                        ;02/09/2025 08:25:17;;False;;02/09/2025;;
16;MOVVI LOGISTICA LTDA                                        ;MOVVI LOGISTICA LTDA                    ;23.864.838/0012-81;082672679      ;ROD BR101/262,KM10,GALP 54 E 26, PRD 28                     ;;VIANA                                                       ;ES;;;;;02/09/2025 08:25:17;;True;;;;
17;CASTELO DISTRIBUIDORA DE EMBALAGENS LTDA - EPP              ;CASTELO DISTRIBUIDORA DE EMBALAGENS LTDA;03.600.626/0003-99;797006627110  ;AV. FRANCISCO JUNQUEIRA                                     ;CAMPOS ELISEOS                                              ;Ribeirao Preto                                              ;SP;14080140;29551444  ;;                                                                                                                                                                                                        ;02/09/2025 08:30:19;;False;;28/05/2026;;
18;Kalunga SA                                                  ;Kalunga SA                              ;43.283.811/0073-24;582531905118  ;Av Presidente Kennedy                                       ;Ribeirania                                                  ;Ribeirao Preto                                              ;SP;14096350;          ;;                                                                                                                                                                                                        ;02/09/2025 08:32:54;;False;;02/09/2025;;
19;CINORD INDUSTRIA FARMACEUTICA LTDA                          ;CINORD INDUSTRIA FARMACEUTICA LTDA      ;06.879.626/0001-04;663079579110  ;RUA FORTUNATO CELEGATO                                      ;JARDIM PARANOA                                              ;SERRANA                                                     ;SP;14150000;1639873786;;                                                                                                                                                                                                        ;12/09/2025 12:30:04;;False;;27/05/2026;;
20;HTM INDUSTRIA DE EQUIPAMENTOS ELETRO-ELETRONICOS LTDA       ;HTM INDUSTRIA DE EQUIPAMENTOS ELETRO-ELE;03.271.206/0003-06;168171594110  ;RUA RIO JORDAO                                              ;JARDIM FIGUEIRA                                             ;AMPARO                                                      ;SP;13904350;          ;;                                                                                                                                                                                                        ;16/09/2025 16:55:55;;False;;27/05/2026;;
21;OZOTEC INDUSTRIA E COMERCIO LTDA                            ;OZOTEC INDUSTRIA E COMERCIO LTDA        ;06.301.029/0001-90;116880502112  ;RUA MOREIRA NETO                                            ;JD DO DIVINO                                                ;SAO PAULO                                                   ;SP;08460600;1125579895;;                                                                                                                                                                                                        ;16/09/2025 16:56:56;;False;;;;
22;SEDEX POST COMERCIO E SERVICOS DE POS                       ;SEDEX POST COMERCIO E SERVICOS DE POS   ;07.047.000/0001-96;ISENTO         ;AV. METALURGICOS , 1033 LOJA 6                              ;;SAO PAULO                                                   ;SP;;;;;16/09/2025 16:56:56;;True;;;;
23;A CALURA CASA E CONSTRUCAO LTDA                             ;A CALURA CASA E CONSTRUCAO LTDA         ;16.982.493/0001-42;582929500114  ;AVENIDA CARAMURU                                            ;alto da boa vista                                           ;RIBEIRAO PRETO                                              ;SP;14025303;1639021414;;                                                                                                                                                                                                        ;16/09/2025 16:58:18;;False;;17/06/2026;;
24;HMPC SOLUCOES EM AUTOMACAO LTDA                             ;HMPC SOLUCOES EM AUTOMACAO LTDA         ;11.734.115/0001-26;336930047112  ;RUA RAFAEL BALZANI                                          ;VILA MOREIRA                                                ;Guarulhos                                                   ;SP;07020091;1122299499;;                                                                                                                                                                                                        ;03/10/2025 08:54:10;;False;;03/10/2025;;
25;PONTO DA ELETRONICA COMERCIO VAREJISTA DE COMPONENTES ELETRO;PONTO DA ELETRONICA COMERCIO VAREJISTA D;05.701.783/0001-54;116611130116  ;Rua Vitoria                                                 ;Santa Efigenia                                              ;Sao Paulo                                                   ;SP;01210001;1133374933;;                                                                                                                                                                                                        ;03/10/2025 13:16:25;;False;;;;
26;ADDA SOUTH AMERICA CORPORATION LTDA                         ;ADDA SOUTH AMERICA CORPORATION LTDA     ;03.151.897/0001-42;278283369116  ;RUA SANTA MONICA                                            ;PQ IND SAN JOSE                                             ;COTIA                                                       ;SP;06715865;1146177254;;                                                                                                                                                                                                        ;03/10/2025 13:19:28;;False;;;;
27;ELETROZON INDUSTRIA E COMERCIO LTDA                         ;ELETROZON INDUSTRIA E COMERCIO LTDA     ;44.525.122/0001-77;133712010112  ;RUA DR. EDGARD PINTO CESAR                                  ;PQ SANTA MADALENA                                           ;SAO PAULO                                                   ;SP;03980150;1125579895;;                                                                                                                                                                                                        ;17/10/2025 11:14:34;;False;;17/10/2025;;
28;RESISPAR COMERCIO DE MATERIAIS ELETRICOS LTDA               ;RESISPAR COMERCIO DE MATERIAIS ELETRICOS;29.202.623/0001-29;797337270118  ;RUA SAO PAULO                                               ;CAMPOS ELISEOS                                              ;RIBEIRAO PRETO                                              ;SP;14085010;1632348116;;                                                                                                                                                                                                        ;31/10/2025 16:22:16;;False;;28/05/2026;;
29;LINDACOR COMERCIO DE TINTAS LTDA - ME                       ;LINDACOR COMERCIO DE TINTAS LTDA - ME   ;11.051.392/0001-34;582820395117  ;AV. CARAMURU                                                ;JD SUMARE                                                   ;RIBEIRAO PRETO                                              ;SP;14025303;1636212108;;                                                                                                                                                                                                        ;31/10/2025 16:23:51;;False;;;;
30;RODIPEL PECAS ELETRICAS LTDA                                ;RODIPEL PECAS ELETRICAS LTDA            ;57.099.699/0001-06;582377525116  ;AVENIDA SAUDADE                                             ;C ELISEOS                                                   ;RIBEIRAO PRETO                                              ;SP;14080000;1621011515;;                                                                                                                                                                                                        ;27/11/2025 16:19:41;;False;;27/11/2025;;
31;CAXIAS CARGAS AEREAS LTDA -FILIAL CXJ                       ;CAXIAS CARGAS AEREAS LTDA -FILIAL CXJ   ;02.463.394/0011-11;0290723809     ;ABRAMO JOAO MAZZOCHI, 481                                   ;;CAXIAS DO SUL                                               ;RS;;;;;23/01/2026 12:02:49;;True;;;;
32;LMG LASERS - FABRICACAO, COM, IMPORT E EXPORTACAO LTDA      ;LMG LASERS - FABRICACAO, COM, IMPORT E E;09.089.140/0001-52;0010436890089 ;Rua Sebastiao Monteiro Ferraz                               ;Polo Industrial                                             ;Guaxupe                                                     ;MG;37834854;3530500200;;                                                                                                                                                                                                        ;13/02/2026 08:31:25;;False;;13/02/2026;;
33;EMPRESA BRAS.DE CORREIO E TELEGRAFOS                        ;EMPRESA BRAS.DE CORREIO E TELEGRAFOS    ;34.028.316/0001-03;ISENTO         ;ST SBN QUADRA 1 BLOCO A                                     ;;BRASILIA                                                    ;DF;;;;;13/02/2026 08:31:25;;True;;;;
34;MOLYPLAST COMERCIO IMPORTACAO E EXPORTACAO LTDA             ;MOLYPLAST COMERCIO IMPORTACAO E EXPORTAC;96.576.301/0001-37;582397882113  ;AV. PRESIDENTE KENNEDY                                      ;PQ. IND. LAGOINHA                                           ;RIBEIRAO PRETO                                              ;SP;14095210;1639639000;;                                                                                                                                                                                                        ;25/02/2026 20:16:53;;False;;01/04/2026;;
35;IBRAMED INDUSTRIA BRASILEIRA DE EQUIPAMENTOS MEDICOS LTDA   ;IBRAMED INDUSTRIA BRASILEIRA DE EQUIPAME;00.133.418/0003-39;168069692113  ;AVENIDA DA SAUDADE                                          ;SILVESTRE                                                   ;AMPARO                                                      ;SP;13901014;1938179633;;                                                                                                                                                                                                        ;01/04/2026 10:53:00;;False;;22/06/2026;;
36;FRIGELAR COMERCIO E INDUSTRIA LTDA;;92.660.406/0007-04;;RUA VISCONDE DO RIO BRANCO 1151;CENTRO;RIBEIRAO PRETO;SP;14.015-000;;(51) 3058-8869;fiscal@frigelar.com.br;28/04/2026 13:31:47;13/02/2004;False;;;;
37;SENHOR PLASTICO COMERCIO DE ARTIGOS PLASTICOS LTDA          ;SENHOR PLASTICO COMERCIO DE ARTIGOS PLAS;36.690.398/0001-82;797583280110  ;AVENIDA MARECHAL COSTA E SILVA                              ;CAMPOS ELISEOS                                              ;RIBEIRAO PRETO                                              ;SP;14080130;1634215701;;;27/05/2026 19:52:38;;False;;27/05/2026;;
38;GURGELMIX MAQUINAS E FERRAMENTAS S.A.                       ;GURGELMIX MAQUINAS E FERRAMENTAS S.A.   ;29.302.348/0012-78;797852021111  ;AV DOUTOR FRANCISCO JUNQUEIRA                               ;JARDIM AMERICA                                              ;RIBEIRAO PRETO                                              ;SP;14020103;1621030800;;;27/05/2026 20:30:27;;False;;28/05/2026;;
39;RIBERCAIXA-IND. E COM. DE EMBALAGENS LTDA                   ;RIBERCAIXA-IND. E COM. DE EMBALAGENS LTD;01.682.464/0001-98;582436169110  ;RUA RAPHAEL ANDREOLLI                                       ;DIST. INDUSTRIAL                                            ;RIBEIRAO PRETO                                              ;SP;14072070;1636280442;;;28/05/2026 08:28:36;;False;;28/05/2026;;
40;EVANDRO MARIANO DA SILVA                                    ;EVANDRO MARIANO DA SILVA                ;03.356.965/0001-00;614022888116  ;RUA NOVE                                                    ;centro                                                      ;Santa Fe do Sul                                             ;SP;15775000;7997285347;;;11/06/2026 16:09:09;;False;;11/06/2026;;
41;REI DA BORRACHA DE RIBEIRAO PRETO LTDA                      ;REI DA BORRACHA DE RIBEIRAO PRETO LTDA  ;24.867.612/0001-44;797209591110  ;AV DOUTOR FRANCISCO JUNQUEIRA                               ;CAMPOS ELISEOS                                              ;RIBEIRAO PRETO                                              ;SP;14085310;1635140311;;;11/06/2026 16:10:16;;False;;11/06/2026;;
42;FISMATEK INDUSTRIA E COMERCIO LTDA;FISMATEK INDUSTRIA E COMERCIO LTDA;55.532.188/0001-00;111603306115;Avenida OLAVO EGIDIO DE SOUZA ARANHA  442  ;PARQUE CISPER;Sao Paulo;SP;03822000;1125413867;;;16/06/2026 09:55:47;;False;;16/06/2026;;
43;BIOSET INDUSTRIA DE TECNOLOGIA ELETRONICA LTDA;BIOSET INDUSTRIA DE TECNOLOGIA ELETRONIC;68.099.431/0001-90;587101866114;AVENIDA 55  1212  ;JARDIM KENNEDY;RIO CLARO;SP;13501540;35248119;;;22/06/2026 18:06:39;;False;;22/06/2026;;
44;CANELLO ADMINISTRACAO DE SERVICOS LTDA;CANELLO ADMINISTRACAO DE SERVICOS LTDA;66.841.701/0001-61;587166666119;AV M23;;RIO CLARO;SP;;;;;22/06/2026 18:06:39;;True;;;;
45;MCEIG - MATERIAIS ELETRICOS E AUTOMACAO LTDA;MCEIG - MATERIAIS ELETRICOS E AUTOMACAO ;20.526.132/0001-69;143668110116;Rua Monforte da Beira  120  ;Jardim Santa Josefina;Sao Paulo;SP;05819060;1141020447;;;23/06/2026 09:31:41;;False;;23/06/2026;;
